,value,total_count
0,Medicine,5
1,programs,5
2,program,5
3,marketing,5
4,assistant,5
5,United,5
6,US,5
7,PhD,5
8,Lecturer,5
9,Kong,5
10,Jain,5
11,Informatics,5
12,Hong,5
13,Harvard,5
14,student,5
15,Director,5
16,Computer,5
17,strategy,6
18,Systems,6
19,published,6
20,Graduate,6
21,Information,6
22,professor,6
23,Prof,6
24,Dean,6
25,National,6
26,member,6
27,Sociology,7
28,global,7
29,&,7
30,methods,7
31,His,7
32,Chemical,8
33,Monterey,8
34,Studies,8
35,State,8
36,Public,8
37,Dept,9
38,research,10
39,including,11
40,Journal,11
41,MBA,11
42,Center,12
43,Wood,12
44,Institute,12
45,Design,12
46,Paper,12
47,Technology,12
48,Dr,12
49,Research,13
50,Health,13
51,Management,14
52,Marketing,17
53,International,19
54,Assistant,19
55,Associate,20
56,Business,22
57,Engineering,22
58,School,24
59,Science,27
60,He,28
61,Department,37
62,University,43
63,Professor,58
